Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
baseL2_0	1.0	0.9999999999999996	0.0	0.9999999999999996	0.0	NA
Coding_UCSCL2_0	0.013632416112370094	0.06126916102684265	0.013918711182110882	4.494372862580598	1.021001051272269	0.000817632425887697
Coding_UCSC.extend.500L2_0	0.06084504707893213	0.12211658143922899	0.022004187902840245	2.007009400137557	0.3616430417794729	0.005466143030480973
Conserved_LindbladTohL2_0	0.02526589208575044	0.35183700573825827	0.03882174267696125	13.925374356232952	1.5365276850389182	4.856447674217149e-15
Conserved_LindbladToh.extend.500L2_0	0.32011543392820085	0.6452697526522435	0.04254572425495065	2.0157408367788103	0.1329074444579679	5.56647962912115e-13
CTCF_HoffmanL2_0	0.02245033222566283	-0.020095704863863334	0.02466541501378656	-0.8951183733883485	1.0986659246668824	0.08344057587357379
CTCF_Hoffman.extend.500L2_0	0.06670162631125927	0.08895371490794812	0.027382465334289938	1.3336063875392	0.4105217046209826	0.41738950066283265
DGF_ENCODEL2_0	0.13148248520128383	0.27342638110790235	0.06543982098999204	2.0795650514919877	0.4977075151098001	0.0327241948256242
DGF_ENCODE.extend.500L2_0	0.5155588032461472	0.662979432347498	0.058041961454315026	1.2859433844852157	0.1125806815611751	0.01293462719761343
DHS_peaks_TrynkaL2_0	0.10792381146015398	0.15135580954960104	0.06361077894888564	1.4024320259063716	0.5894044890396691	0.4963032390147839
DHS_TrynkaL2_0	0.16197219366233984	0.27667340699283416	0.07126963400582315	1.70815373143374	0.4400115377482478	0.11244390083772168
DHS_Trynka.extend.500L2_0	0.47801392313139107	0.7044953353093681	0.05258526083227687	1.4737966850302902	0.11000780163012705	3.013483058980843e-05
Enhancer_AnderssonL2_0	0.004116481375517747	-0.004743624120732745	0.01049323038069325	-1.1523492244966418	2.5490775794833938	0.39745553659437693
Enhancer_Andersson.extend.500L2_0	0.018142445118474446	0.021433538677873704	0.014984910888074203	1.181402977267267	0.8259587277359364	0.8256152485210791
Enhancer_HoffmanL2_0	0.0605969409639971	0.07198299283516535	0.034934708808820936	1.1878981296751123	0.5765094450820042	0.7445350726944211
Enhancer_Hoffman.extend.500L2_0	0.1463373146061026	0.2725324398182539	0.03228960805519716	1.8623578036253556	0.22065191056779584	0.00012521155423088928
FetalDHS_TrynkaL2_0	0.0817871155592394	0.26710854893277597	0.055237766400897094	3.2659001006008825	0.67538469871685	0.0012248144101742063
FetalDHS_Trynka.extend.500L2_0	0.273344327839603	0.5108313712537558	0.047362420598812426	1.868820089632549	0.1732701789466231	1.4697806280511406e-06
H3K27ac_HniszL2_0	0.37121455743757215	0.5073916018018492	0.02777783180889699	1.366841875233242	0.07482958642743541	1.887148288338328e-06
H3K27ac_Hnisz.extend.500L2_0	0.4009695094527759	0.5551383896027826	0.03036074789181009	1.3844902829654282	0.07571834560000584	9.207072696307009e-07
H3K27ac_PGC2L2_0	0.2555036696722902	0.412575217664068	0.03832240619844348	1.6147526107677368	0.1499876939051244	7.084530208170369e-05
H3K27ac_PGC2.extend.500L2_0	0.31847665864976926	0.5267694739783229	0.03410220214601587	1.6540285125184464	0.10707912564329643	2.8631899537039505e-09
H3K4me1_peaks_TrynkaL2_0	0.1649048448464468	0.44043746955515806	0.05690626807001581	2.670858275663622	0.3450854832252187	1.7313233460570142e-06
H3K4me1_TrynkaL2_0	0.409153823945981	0.6603122045723595	0.04340043436651752	1.6138483033206064	0.10607363741087145	3.9435854305037154e-08
H3K4me1_Trynka.extend.500L2_0	0.5811203827980431	0.7765807833526504	0.03586243832146213	1.3363509633124255	0.061712580358630115	1.1459445042152262e-07
H3K4me3_peaks_TrynkaL2_0	0.03954482676942521	0.17757473613696	0.04151878861004404	4.490466911698677	1.0499170688527337	0.0010491615015059495
H3K4me3_TrynkaL2_0	0.1262888642963558	0.32378003432423236	0.042563985632192866	2.56380509974683	0.3370367282131073	4.6968648151636525e-06
H3K4me3_Trynka.extend.500L2_0	0.2417387289954856	0.35474972924580384	0.037873717161485916	1.467492324129944	0.15667211174173584	0.0028808938789011323
H3K9ac_peaks_TrynkaL2_0	0.0370092460207822	0.2144237420164962	0.03405883570736601	5.793788446705683	0.9202791023691914	4.610491849270393e-07
H3K9ac_TrynkaL2_0	0.12039034691072659	0.3067807699359249	0.041254889141226256	2.548217343068319	0.34267605501476056	9.487015932525941e-06
H3K9ac_Trynka.extend.500L2_0	0.2191390969440674	0.4336278346988863	0.030790917007647734	1.978778961608866	0.1405085511304573	7.999641480162772e-11
Intron_UCSCL2_0	0.3690176692149966	0.5080873678743556	0.023219784501043027	1.376864606389171	0.0629232322409872	4.215100010485788e-09
Intron_UCSC.extend.500L2_0	0.3778164615303836	0.5200946600967291	0.021068705176035738	1.3765801997881018	0.055764391764971874	3.91359426992885e-11
PromoterFlanking_HoffmanL2_0	0.00793167905771344	0.03560589925686977	0.015962551618803063	4.4890746332258065	2.0125059905543856	0.08282900302900394
PromoterFlanking_Hoffman.extend.500L2_0	0.03129055943651226	0.08672861321386985	0.023074344551248755	2.7717182043306057	0.7374219242729108	0.015086573625599503
Promoter_UCSCL2_0	0.02881251783419969	0.050514311316138136	0.019927287211272064	1.7532071166713168	0.6916190846611435	0.2800179261276246
Promoter_UCSC.extend.500L2_0	0.03572795156109743	0.06972550522093214	0.017825215420013026	1.951567391197796	0.49891512502558655	0.06175156495398079
Repressed_HoffmanL2_0	0.434135039847117	0.42664947205416437	0.0702492525410515	0.9827575129720266	0.1618142883969701	0.9147638628801369
Repressed_Hoffman.extend.500L2_0	0.6791952705841263	0.6046754541000987	0.043926773349101465	0.8902821917179451	0.06467473383806582	0.09232110497059536
SuperEnhancer_HniszL2_0	0.15905950503920463	0.239467286835629	0.0193830904551136	1.5055201308252886	0.12186062348387229	8.42535485185514e-05
SuperEnhancer_Hnisz.extend.500L2_0	0.16202184843584946	0.24186785185383475	0.018615240392520292	1.4928101005439356	0.11489339599708841	4.6422594764933644e-05
TFBS_ENCODEL2_0	0.12583794527205197	0.26385439072798833	0.0494123836929912	2.0967792358461943	0.39266680321397035	0.00544571465529262
TFBS_ENCODE.extend.500L2_0	0.3270489849373251	0.4016981390115819	0.054598021742236685	1.2282506826571022	0.1669414193494584	0.16565730791089364
Transcribed_HoffmanL2_0	0.32865605497186035	0.3425404374656422	0.06394653046756216	1.042245935481002	0.1945697622185518	0.8270123369148414
Transcribed_Hoffman.extend.500L2_0	0.7246745137984073	0.7792730655083173	0.050624135535226975	1.0753421717892764	0.06985775623580132	0.27517531838655973
TSS_HoffmanL2_0	0.016945697975846642	0.09441005903938299	0.023537701651146534	5.5713290284029195	1.3890075041285244	0.0012212915234944067
